Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text
to-all-my-haters-tee,To All My Haters — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,M,TAMH-TEE-BLK-M,200,shopify,25.00,,TRUE,TRUE,,,
to-all-my-haters-tee,To All My Haters — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,S,TAMH-TEE-WHT-S,200,shopify,25.00,,TRUE,TRUE,,,
bands-tee,Bands in my hand! — Unisex Tee,"<p>Official DJ Huevo tee. Track: <em>Bands in my hand!</em></p>",DJ Huevo,T-Shirt,"music-merch, tee",TRUE,Color,Black,Size,S,BANDS-TEE-BLK-S,200,shopify,13.00,,TRUE,TRUE,,,
bands-tee,Bands in my hand! — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,M,BANDS-TEE-BLK-M,200,shopify,13.00,,TRUE,TRUE,,,
bands-tee,Bands in my hand! — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,S,BANDS-TEE-WHT-S,200,shopify,13.00,,TRUE,TRUE,,,
nice-to-meet-ya-tee,Nice to meet ya — Unisex Tee,"<p>Official DJ Huevo tee feat. 300. Track: <em>Nice to meet ya</em>.</p>",DJ Huevo,T-Shirt,"music-merch, tee",TRUE,Color,Black,Size,S,NTMY-TEE-BLK-S,200,shopify,25.00,,TRUE,TRUE,,,
nice-to-meet-ya-tee,Nice to meet ya — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,Black,Size,M,NTMY-TEE-BLK-M,200,shopify,25.00,,TRUE,TRUE,,,
nice-to-meet-ya-tee,Nice to meet ya — Unisex Tee,,DJ Huevo,T-Shirt,,TRUE,Color,White,Size,S,NTMY-TEE-WHT-S,200,shopify,25.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,"<p>Glossy ceramic mug with colored rim, inside, and handle. Microwave and dishwasher safe. Track: <em>De Camino Voy</em> feat. ABEATZ.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,, DCVoy-MUG-BLK,350,shopify,11.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,DCVoy-MUG-WHT,350,shopify,11.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Pink,,,DCVoy-MUG-PNK,350,shopify,11.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Green,,,DCVoy-MUG-GRN,350,shopify,11.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Blue,,,DCVoy-MUG-BLU,350,shopify,11.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Red,,,DCVoy-MUG-RED,350,shopify,11.00,,TRUE,TRUE,,,
de-camino-voy-mug,De Camino Voy — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Yellow,,,DCVoy-MUG-YLW,350,shopify,11.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>BITCHES EN YATES</em> feat. Primo Louie.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,BEY-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,BEY-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Pink,,,BEY-MUG-PNK,350,shopify,13.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Green,,,BEY-MUG-GRN,350,shopify,13.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Blue,,,BEY-MUG-BLU,350,shopify,13.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Red,,,BEY-MUG-RED,350,shopify,13.00,,TRUE,TRUE,,,
bitches-en-yates-mug,BITCHES EN YATES — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Yellow,,,BEY-MUG-YLW,350,shopify,13.00,,TRUE,TRUE,,,
anymore-mug,ANYMORE — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>ANYMORE</em>.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,ANYMORE-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
anymore-mug,ANYMORE — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,ANYMORE-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
anymore-mug,ANYMORE — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Pink,,,ANYMORE-MUG-PNK,350,shopify,13.00,,TRUE,TRUE,,,
im-him-mug,I'm Him — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>I'm Him</em> feat. 300.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,IMHIM-MUG-BLK,350,shopify,7.00,,TRUE,TRUE,,,
im-him-mug,I'm Him — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,IMHIM-MUG-WHT,350,shopify,7.00,,TRUE,TRUE,,,
im-him-mug,I'm Him — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Yellow,,,IMHIM-MUG-YLW,350,shopify,7.00,,TRUE,TRUE,,,
curls-mug,Curls — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>Curls</em>.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,CURLS-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
curls-mug,Curls — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,CURLS-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
curls-mug,Curls — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Pink,,,CURLS-MUG-PNK,350,shopify,13.00,,TRUE,TRUE,,,
bands-mug,Bands in my hand! — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>Bands in my hand!</em></p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,BANDS-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
bands-mug,Bands in my hand! — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,BANDS-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
bands-mug,Bands in my hand! — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Yellow,,,BANDS-MUG-YLW,350,shopify,13.00,,TRUE,TRUE,,,
nice-to-meet-ya-mug,Nice to meet ya — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>Nice to meet ya</em> feat. 300.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,NTMY-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
nice-to-meet-ya-mug,Nice to meet ya — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,NTMY-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
nice-to-meet-ya-mug,Nice to meet ya — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Pink,,,NTMY-MUG-PNK,350,shopify,13.00,,TRUE,TRUE,,,
to-all-my-haters-mug,To All My Haters — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>To All My Haters</em>.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,TAMH-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
to-all-my-haters-mug,To All My Haters — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,TAMH-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
pain-mug,Pain — Ceramic Mug,"<p>Glossy ceramic mug. Microwave and dishwasher safe. Track: <em>Pain</em>.</p>",DJ Huevo,Mug,"music-merch, mug",TRUE,Color,Black,,,PAIN-MUG-BLK,350,shopify,13.00,,TRUE,TRUE,,,
pain-mug,Pain — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,White,,,PAIN-MUG-WHT,350,shopify,13.00,,TRUE,TRUE,,,
pain-mug,Pain — Ceramic Mug,,DJ Huevo,Mug,,TRUE,Color,Red,,,PAIN-MUG-RED,350,shopify,13.00,,TRUE,TRUE,,,
curls-tote,Curls — Tote Bag,"<p>100% cotton premium tote bag with reinforced stitching on handles. Track: <em>Curls</em>.</p>",DJ Huevo,Tote Bag,"music-merch, tote",TRUE,Color,Black,,,CURLS-TOTE-BLK,300,shopify,26.00,,TRUE,TRUE,,,
curls-tote,Curls — Tote Bag,,DJ Huevo,Tote Bag,,TRUE,Color,Natural,,,CURLS-TOTE-NAT,300,shopify,26.00,,TRUE,TRUE,,,
bands-tote,Bands in my hand! — Tote Bag,"<p>100% cotton premium tote bag. Track: <em>Bands in my hand!</em></p>",DJ Huevo,Tote Bag,"music-merch, tote",TRUE,Color,Black,,,BANDS-TOTE-BLK,300,shopify,26.00,,TRUE,TRUE,,,
bands-tote,Bands in my hand! — Tote Bag,,DJ Huevo,Tote Bag,,TRUE,Color,Natural,,,BANDS-TOTE-NAT,300,shopify,26.00,,TRUE,TRUE,,,
anymore-tote,ANYMORE — Tote Bag,"<p>100% cotton premium tote bag. Track: <em>ANYMORE</em>.</p>",DJ Huevo,Tote Bag,"music-merch, tote",TRUE,Color,Black,,,ANYMORE-TOTE-BLK,300,shopify,26.00,,TRUE,TRUE,,,
anymore-tote,ANYMORE — Tote Bag,,DJ Huevo,Tote Bag,,TRUE,Color,Natural,,,ANYMORE-TOTE-NAT,300,shopify,26.00,,TRUE,TRUE,,,
bey-tote,BITCHES EN YATES — Tote Bag,"<p>100% cotton premium tote bag. Track: <em>BITCHES EN YATES</em> feat. Primo Louie.</p>",DJ Huevo,Tote Bag,"music-merch, tote",TRUE,Color,Black,,,BEY-TOTE-BLK,300,shopify,26.00,,TRUE,TRUE,,,
bey-tote,BITCHES EN YATES — Tote Bag,,DJ Huevo,Tote Bag,,TRUE,Color,Natural,,,BEY-TOTE-NAT,300,shopify,26.00,,TRUE,TRUE,,,
ntmy-tote,Nice to meet ya — Tote Bag,"<p>100% cotton premium tote bag. Track: <em>Nice to meet ya</em> feat. 300.</p>",DJ Huevo,Tote Bag,"music-merch, tote",TRUE,Color,Black,,,NTMY-TOTE-BLK,300,shopify,26.00,,TRUE,TRUE,,,
ntmy-tote,Nice to meet ya — Tote Bag,,DJ Huevo,Tote Bag,,TRUE,Color,Natural,,,NTMY-TOTE-NAT,300,shopify,26.00,,TRUE,TRUE,,,
6009-hoodie-black,6009 Flame Hoodie — Black,"<p>Custom flame appliqué hoodie from the 6009 Collection. Hand-crafted raw-edge flame design. <strong>Limited run.</strong></p>",DJ Huevo,Hoodie,"6009-collection, hoodie, limited",TRUE,Size,S,,,6009-HOOD-BLK-S,600,shopify,60.00,,TRUE,TRUE,images/merch-hoodie-black.jpg,1,6009 Flame Hoodie Black
6009-hoodie-black,6009 Flame Hoodie — Black,,DJ Huevo,Hoodie,,TRUE,Size,M,,,6009-HOOD-BLK-M,600,shopify,60.00,,TRUE,TRUE,,,
6009-hoodie-black,6009 Flame Hoodie — Black,,DJ Huevo,Hoodie,,TRUE,Size,L,,,6009-HOOD-BLK-L,600,shopify,60.00,,TRUE,TRUE,,,
6009-hoodie-black,6009 Flame Hoodie — Black,,DJ Huevo,Hoodie,,TRUE,Size,XL,,,6009-HOOD-BLK-XL,600,shopify,60.00,,TRUE,TRUE,,,
6009-hoodie-pink,6009 Flame Hoodie — Pink,"<p>Custom flame appliqué hoodie from the 6009 Collection. Hand-crafted raw-edge flame design. <strong>Limited run.</strong></p>",DJ Huevo,Hoodie,"6009-collection, hoodie, limited",TRUE,Size,S,,,6009-HOOD-PNK-S,600,shopify,60.00,,TRUE,TRUE,images/merch-hoodie-pink.jpg,1,6009 Flame Hoodie Pink
6009-hoodie-pink,6009 Flame Hoodie — Pink,,DJ Huevo,Hoodie,,TRUE,Size,M,,,6009-HOOD-PNK-M,600,shopify,60.00,,TRUE,TRUE,,,
6009-hoodie-pink,6009 Flame Hoodie — Pink,,DJ Huevo,Hoodie,,TRUE,Size,L,,,6009-HOOD-PNK-L,600,shopify,60.00,,TRUE,TRUE,,,
6009-hoodie-white,6009 Flame Hoodie — White,"<p>Custom flame appliqué hoodie from the 6009 Collection. Hand-crafted raw-edge flame design. <strong>Limited run.</strong></p>",DJ Huevo,Hoodie,"6009-collection, hoodie, limited",TRUE,Size,S,,,6009-HOOD-WHT-S,600,shopify,60.00,,TRUE,TRUE,images/merch-hoodie-white.jpg,1,6009 Flame Hoodie White
6009-hoodie-white,6009 Flame Hoodie — White,,DJ Huevo,Hoodie,,TRUE,Size,M,,,6009-HOOD-WHT-M,600,shopify,60.00,,TRUE,TRUE,,,
6009-hoodie-white,6009 Flame Hoodie — White,,DJ Huevo,Hoodie,,TRUE,Size,L,,,6009-HOOD-WHT-L,600,shopify,60.00,,TRUE,TRUE,,,
6009-pants-black,6009 Stacked Pants — Black,"<p>Custom stacked pants from the 6009 Collection. Signature logo patch on leg. <strong>Limited run.</strong></p>",DJ Huevo,Pants,"6009-collection, pants, limited",TRUE,Size,S,,,6009-PNT-BLK-S,500,shopify,60.00,,TRUE,TRUE,images/merch-pants-black.jpg,1,6009 Stacked Pants Black
6009-pants-black,6009 Stacked Pants — Black,,DJ Huevo,Pants,,TRUE,Size,M,,,6009-PNT-BLK-M,500,shopify,60.00,,TRUE,TRUE,,,
6009-pants-black,6009 Stacked Pants — Black,,DJ Huevo,Pants,,TRUE,Size,L,,,6009-PNT-BLK-L,500,shopify,60.00,,TRUE,TRUE,,,
6009-pants-white,6009 Stacked Pants — White,"<p>Custom stacked pants from the 6009 Collection. Signature logo patch on leg. <strong>Limited run.</strong></p>",DJ Huevo,Pants,"6009-collection, pants, limited",TRUE,Size,S,,,6009-PNT-WHT-S,500,shopify,60.00,,TRUE,TRUE,images/merch-pants-white.jpg,1,6009 Stacked Pants White
6009-pants-white,6009 Stacked Pants — White,,DJ Huevo,Pants,,TRUE,Size,M,,,6009-PNT-WHT-M,500,shopify,60.00,,TRUE,TRUE,,,
6009-pants-white,6009 Stacked Pants — White,,DJ Huevo,Pants,,TRUE,Size,L,,,6009-PNT-WHT-L,500,shopify,60.00,,TRUE,TRUE,,,
6009-pants-pink,6009 Stacked Pants — Pink,"<p>Custom stacked pants from the 6009 Collection. Signature logo patch on leg. <strong>Limited run.</strong></p>",DJ Huevo,Pants,"6009-collection, pants, limited",TRUE,Size,S,,,6009-PNT-PNK-S,500,shopify,60.00,,TRUE,TRUE,images/merch-pants-pink.jpg,1,6009 Stacked Pants Pink
6009-pants-pink,6009 Stacked Pants — Pink,,DJ Huevo,Pants,,TRUE,Size,M,,,6009-PNT-PNK-M,500,shopify,60.00,,TRUE,TRUE,,,
6009-pants-pink,6009 Stacked Pants — Pink,,DJ Huevo,Pants,,TRUE,Size,L,,,6009-PNT-PNK-L,500,shopify,60.00,,TRUE,TRUE,,,
